user,icon,message,image,pun
Koyo,,Happy Birthday Ina!!! Thank you for being you! Thank you for all the fun time this year as well. Your streams always gets me through hard days. I always love when you do a watchalong. Lets celebrate many birthdays together. HAPPY BIRTHDAY INA! WAH!,,What does every happy birthday end with? A ‘y’.
tako,bvebe-tako.png,Happy Birthday Ninomae Inanis San! May your upcoming year be blessed,inabirthday-tako.png,do have a spec-tako-lar day!!
teamakite,,Happy Birthday Ina! Wishing you all the best. Looking forward to another great year with you and takos c:,ina2024BdSubmitWip-teamakite.png,
vignedev,vignedev_eu_tako-Vignedev.png,"Happy Birthday Ina! Thank you for making me smile at the dimmer parts of my life without fail, and motivating me to pursue more artistic projects. I wish you the very best, and remember to take care of yourself! = w=)7",n_composite_uiless-Vignedev.jpg,"I may not have a present for you, but I do have a future for you!"
briu,,Thank you for always giving us a pun-tastic time! Happy birthday Ina!,inabd24-Briu.png,uh...
Miiki,,Happy Birthday Ina!! Thank you for motivating me back to art!!,InaBirthdayArt2024-Miiki.png,
Amacatnyaa,Oc_tako-Amacatnyaa.png,I hope you have a WAHnderful birthday Ina 💜💜💜💜,Ninoina_birthday_2024-Amacatnyaa.png,How does an octopus secure its home at night? With a lock-topus on its door.
furikipo,,"Happy Birthday Ina! It's been a great year with great moments, like when I got to see you perform ""Ghost"" at Connect the World! Here's to another great year!",Tanjoubina-furikipo.png,
Cheesecakee,,"Happy birthday, Ina!! I hope all of your birthday wishes come true.",birthdayInaa-Cheesecake.png,Have a wah-nderful birthday this year!
Wydken,takocapy-Wydken.png,"お誕生日おめでとう！！Feliz Cumpleaños!! Happy Birthday Ina!!!!!!  Congratulations on miraculously preserving another year!!! Hope you have a wonderful day and get lots of delicious food!!!! I can't believe it's your 4th Birthday already, it's been a wild journey and this isn't the end!! You are the best Ina!",ina_bday_24-Wydken.png,
bluulake,,"Happy Birthday Ina!! Don't mind the shadow Ina, she is here for cake.",ina_2024-bluulake.png," **Heavensward Spoilers** Once the birthday merch Ysayle drops, my wallet will die with her"
NxKarim,NxZeroTako-Karim.png,Happy Birthday Ina!!  I wish you have a great birthday! Thank you for everything!! WAH,inabday-Karim.png,I couldn't ink about a good pun. I wish I could submit a tentacular one.
kyd kida,,"Happy Birthday Ina!!!  The drawing (I tried) is my first impression when I saw your trailer for Idol Showdown, remind me of Rachel Alucard from BlazBlue.",240516-kydkida.png,
Cromwell,,Happy Birthday Ina!,inyaa2-Cromwell.png,Happy Birthday! I hope it will be a toadally awesome day as always!
,,"Happy birthday, Ina! WAH!",Birthday-Nalucap.png,"Happy birthday, for this 5/20, wǔ èr líng!"
Tah1,FINAL-Tah1.png,"Happy Birthday, Ina! 🎉 May your special day be filled with the warm embrace of your Takodachis. Thank you for brightening our lives with your smile <3. Here’s to another year of amazing adventures and cherished memories! 💜💜💜",10mb-Tah1.png,Geography teacher:       - What are the two major climate phenomena that significantly influence global weather patterns through the warming and cooling of the Pacific Ocean? My brain:       - El Ninomae and La NIna'nis (I mean u are both warm-hearted and cool :v)
GaahOkita,,"Happy Birthday Inaaaa! I hope you have a good one with a lot of cake and gifts, and have fun with your friends. I LOVE YOU and keep going to the WORLD DOMINATION",Inabirthday-GaahOkita.jpg,"A little bird told me you are another year older and I was all like ""HOLY BEEP!! A TALKING BIRD!"""
Frediloc,,"Happy Birthday, Ina! I wish this year for you to receive back the joy that you bring us, many times over. And in the meantime, have some yummy food, talk to some WAHnderful people, and have a nice nap!",,What's a dragoon's favorite season? Fall.
Rai,,Happy Birthday Ina! I don't know what else to say but thank you for being an inspiration and being the Eldritch bringer of fun and Sanity™,TheInas2024b-Rai.png,All these gifts are Tako for the taking!!
Sine_Fine_Belli,,"Happy birthday Ina!  You're one of my favorite Vtubers and oshies. I keep watching you because of how funny, Chill, comfy, and wholesome you are. I’ll continue to watch your streams and spend time with you, We'll always support you. Let’s look forward to more comfy and chill times.  ",IMG_7940-SineFineBelli.jpeg,
Astraea,Astraeadachi-Astraea.png,"Dear Ninomae Ina'nis, happy birthday this year! And in addition, thank you! For all your hard work and effort, you've brought boundless smiles across the world on takos of many shape and size, and are a positive and inspiring priestess. May you find love and comfort throughout your journeys forward!",Ina2024Bday-Astraea.png,
Mythuni,,"Happy Birthday to our priestess, Ina! Thanks for everything that you've done accomplish throughout the years while riding the full wonderfulness. You deserve the best birthday, and there's more to come in the brighter future. Take care and Happy Birthday, Ina!",,"Have a WAHderful, and PUNtastic Day!"
Shura / are you Shura bout that,potatoshuratako-Shura.png,Hi henlo! Happy birthday to my kami oshi! You've been a great source of motivation and happiness not to just me but to many takos out there! I hope you stay healthy and happy! Cheers to many more birthdays to come!,05-14-2024InyaBdayArtV3-Shura.jpg,
Kurai Tenshi,,Happy BDay Ina!! Thank you so much for exist. Do your bestest!!,inaBday2024-KuraiTenshi.jpg,Life is what you bake it. Happy Birthday!!
N,Tako-N.png,"Won't write anything too long, just want to express my gratitude for all these years. I don't think I would've met and enjoyed Hololive as much as I do if I didn't fall in love with your streams first. You've been an inspiration to me, and hopefully I can draw you better next time. = w=)7",24-N.png,What do you call a succubus mixed with a yellow bird? A Chocobo
DarkNess_2101,MyTako-darkness2101.png,"Happy Birthday, Ina! Time really flies when we have fun! It's already 4 years now! I want to say thank you for inspiring and helping me pick up drawing again. Thank you for giving me tips on drawing, Ina.You're the inspiration and your stream always bring smile to my face. Keep doing your best, Ina!",Ina_Birthday4-darkness2101.png,Why does number 4 always stay positive Because it's moving Forth-ward to the Future! HAPPY BIRTHDAY!
Vanilla Thunder,,Happy birthday Ina! Can't believe this is already the 3rd time we get to celebrate this joyous day for you! Here's hoping all your birthday wishes come true and an amazing year ahead!,,
iyon,,Happy birthday!! I feel old now...,05-07inabd2024lowres-iyon.jpg,The sky is clear of cloud today~
CorpShephard,,"Happy Birthday Ina!  I went to Japan to see everyone live at 5th Fes and got to meet so many wonderful Takos. Your anniversary live last year was so incredible!   Heres to another Wahnderful year with you and the Takos!  Sending love and support!  Please take care, and a break here and there!",,
Ithi,tako-Ithi.png,"Happy birthday, Ina. I can still remember the first day we all met at your debut. It feels like yesterday, but in truth, we have been through many hardships and grown a lot. There is no occasion more worth celebrating than this. Cheers, and I wish you the best.",InaBD2024-4wText-Ithi.png,I forgor what I wrote the last time. Guess that's another side effect of having too many birthday...
Mitsudzuri,1603702836412-Mitsudzuri.jpg,"Happy Birthday Ina! It's been a great year watching your streams, from Fate to FF to HoloFes! Let's have another good one!",,
Melmarkt,MelTako750-Melmarkt.png,Happy birthday Ina !!!,,
Reiya,,Happy Birthday Ina~ !,,
@mejasdnejeri,,,Ina_Bday-Meja_SD_Negeri.png,
Kade ᛟ ASA,,,InaBday-KadeASA.png,
Wololo Sensei || 1st Killer,WololoTako-1st_Killer.png,Happy birthday Ina! I hope you have an awesome morning afternoon evening and get to enjoy some delicious cake! Thank you for these wahnderful 4 years!  WAH!,HBD-4th-1st_Killer.jpg,"I thought about summoning Ifrit to light up the candles, while that was my primal option... Since I mostly play WHM I went with Holy to brighten the mood. In hindsight... Fire IV might have been a better option."
Swoog,,"Can't believe it's already that time of the year again! Happy birthday Ina, may your days be fun and eventful--but most importantly I hope you get to eat something yummy! Looking forward to the birthday stream and MV release, and I can't wait to see what cool things you'll get up to later this year = w=)7",InaBday2024-Swoog.png,
Lyudmilia,,Happy birthday to my one and only kami oshi! I feel like it was only yesterday that I greeted you on your last birthday. Hope you've been doing well! I'm still as thankful as I've been these past years. Thank you so much for everything you do! Wishing you all the best in life! I hope you have an amazing day! Much love! <3,,I don't have a pun but have a LAHEEEE
