user,icon,message,image,pun
A random guy,,Hi Ina! Honestly I wanna thank you for just being you. I went through some tough times and your streams really helped me pull through. These days I'm too busy to watch streams due to work so I can only watch vods and clips but I hope you keep being you for a long long time.,,I'd love to be the Jessie to your James but sadly I'm more Jayeded now (I tried)
Light Aether,,Happy Birthday Ina!!! Hope you have a Wah-derful birthday!,,"Can't find the braincell, sorry"
Cncy,q4r44t-cncy.jpg,Happy birthday ina! Thanks for Ina because I had learned some drawing skills from you!,hbdIna-cncy.png,I love ina's pun and also hope Ina can streaming at cook puncake
SkyChordArt,tako2-SkyChordArt.png,"Made this artwork to say that as long as you are happy, WE ARE HAPPY! ",inyajoubi1-SkyChordArt.jpg,
Kaidon,,Happy Birthday Inaaa!! Thanks for bringing us all along on this WAHnderful journey!,,
Dernium,,"Happy Birthday Ina! Ina, you have grown in so many good ways this year, I look forward to another! Just like any good healer, we have our eyes on you (our support priority target). Enjoy my Tako-dachi Scholar from FFXIV",TakoScholar-Dernium.png,"Ina, you are a great Scholar! Know that we Takos will SUPPORT you for another year. I find your existence a HEALING influence in my life. "
Vern,,"Happy birthday Ina! Hope you have a wonderful, wonderful morning, afternoon, evening! May there be lots of cake and delicious food aplenty. (ﾉ◕ヮ◕)ﾉ*:･ﾟ✧",inabirthday-Vern.jpg,
Avros,AvrosTakoSmall-Avros.png,"Ina Ina Ina! Happy Birthday and I hope you have a wonderful one with lots of smiles, fun and laughter from all of Hololive and from all us Takodachi! WAH!",,Why can't a white mage hold its breath? They took away their Aero!
Takomonty,,"Ina! 誕生日おめでとう！  It seems like so long ago, but three years ago in Pixiv's Drawfest, where you were one of the MCs, I picked up my pen to start learning how to draw in earnest - starting with malformed stick figures.  This year, I got my first paid work as an illustrator.  You have continued to be a shining inspiration for me all this time. Every struggle, every climb, every plateau, and every breakthrough. I hope to stand on the same ground as you one day.  Most importantly, I wish you the best of fortunes and hope from the bottom of my heart that you continue to fly higher, oh higher!  ",inaBirthday2_a4_takomonty_04292024-TakoMonty.png,"That Scholar over there thinks I'm a real Succor for puns. When I asked her to Broil some fish, she started counting I,II,III,IV..."
Kawa,,"Happy Birthday, Ina !",Drawing115-Kawa.png,
Tizi,takotizi-Tizi.png,Happy birthday to the most beautiful holy Priestess!!,Ina-Tizi.png,"You always work so hard and inspire so much art! But be careful to not overdo, and we will try to not overdoodle!"
Cyber Toast,,"Happy birthday, Ina! Thank you for being such a wah-nderful oshi and treat yourself to lots of cookies!",,Did you hear about the haunted deli? They named the spirit the gaba-ghoul.
Gryffyd,IMG_0839-Gryffyd.png,Wishing you the happiest of birthdays Ina!,,
MinJyo,,Hi Ina imma keep it short. You genuinely inspire me everyday to keep doing my best. Thanks for everything Wahppy birthday,,Speaking of bdays apparently all takos were born on the 10th month. Cus we oct. im sorry idk any 😂
Yato Takoyaki,,"Happy birthday Ina  Thanks for another WAHderful year, may your chocolate chip cookies be many and your raising be few. Looking forward to another comfy year of takotime!!! ",,
oursencarton,,"WAH ! Hi Ina, congrats on another birthday ! Thanks for always rising my morale after an annoying day at work. ",,Why can't hunters never eat their birthday cakes ? Because the cooks always felynes.
Connan,,Here's to another WAHnderful year of miraculous preservation! Happy birthday Ina!,,
Kutsune,,Happy Birthday Ina!! Your streams are always so lovely to tune into and your art is a huge inspiration for me as a current art student and wishing you plenty of more years with us!! 💜,IMG_4798-Kutsune.png,
Pandaman,,"We love you Ina! Always supporting you, and being a Tako is the best. ",,We-Are-Hungry haha
冗談,,HAPPY BIRTHDAY INA!!!!!,,
SpecterSoul,,"Happy day of birth dear Priestess, may your oven be filled with cookies and your year filled with wahderful moments. WAH.",,"Clive's anime moments are so awesome, even my cake is in tiers *Mic drop*"
Xenopios,,"Happy Birthday! I've been a silent fan since the beginning, but I hope to start being more active and more brave. Cheers to another year and thank you for being one of the few lights in my dark times. ",,"Somewhere out there is a Red Mage that says ""verily"" instead of ""I love you""!"
Kusari,takodachi-Kusari.png,Blessed day of birth Ninomae Inanisu! Thank you so much for giving us a special place to chill and wind down from life. Sometimes I listen to your 3D live Gunjou cover and I break into tears (like right now). All the memories with you and everyone are so precious so keep making more! God bless you!,InaMasterpiece2024-Kusari.png,Are you a smart fella or a fart smella...
Eric the KFP Tentacultist Investigator,,"Happy birthday Ina! Hope you have another WAH-nderful year full of cookies...and hopefully some food that isn't cup ramen! Time sure does seem to fly more and more quickly. Hard to believe I've been watching you for as long as I have, and I'm glad to say its never been dull moment! WAH ",,What does every birthday end with? The letter Y
,,Happy Birthday Day Priestess!!  Hope you eat something yummy.,inaBday-JmoyL.png,I only seem to get sick on weekdays. I must have a weekend immune system.
Requiem,,Happy Birthday Ina!! Hope you have a wonderful birthday and for inspiring to do art.,IMG_2154-Requiem.png,
Arc,,HBD Ina!!! Your cute and comfy streams always make my day a bit better! Couldn't wait for the official ones so I've made my own Ina and Ao chan.,PXL_20240505_123514514-Arc.jpg,I got nothing
Moxi,IMG_20240112_030640_015-Moxi.jpg,"Oh fair priestess, I wish you a happy birthday and a thousand ""thank you"" for being the inspiration for my art",20240504_193111-01-Moxi.jpeg,"Whenever its your birthday, you can always count that Ill always be there, Ina heartbeat  🫴💕 ""chu"""
Silveraith,,"Happy birthday Ina! It feels like the last one was just yesterday, but time flies when you're having fun. May all of your days bring you joy.",,"If you have a strawberry shortcake, the filling would be miraculous preserves!"
Shifumi,,"Hi Ina! Happy 4th birthday!! Times flies huh... I've been a day 1 takodachi so thank you for the good times. I hope you have a great day and at least one cookie. You built an amazing community (naturally, for someone as WAHnderful as YOU) and I love meeting fellow takodachis in the wild!",,
Zachary,tako0-Zachary.png,"Happy birthday Ina! Thank you so, so much for being an inspiration! I was about ready to give up on art before you debuted, but you encouraged me to keep going! I am eternally grateful to you and the Tentacult!",inabirthday24-Zachary.png,
Vaan,EmoTako-Vaan.png,"Happy Birthday, Ina, Priestess of The Takos! 🎉 May your special day be blessed with warmth, joy, and all the divine wonders your heart desires.  Cheers to another year of giving us Takos your presence",hbdIna-Vaan.png,"Ina, hope your birthday is full of clover! Don't cliff over!"
F,,WAH! Happy Birthday Ina! I'm not good with words so I'll leave it at that!,inahbd24final-F.jpg,
Gunpla Uruguay,TakoverseNumegane-GunplaUruguay.png,"Oh ! is this the birthday of the world famous Ninyomae Inyanis from Hololive first generation myth? WAHnderful !   Ina, another year has passed with you bringing happiness and joy to all of us takos, thank you ! Personally, you have been a ray of sunshine for this old tako, we love you !",,
ManILoveIna,,ina! Happy Birthday!! I hope you have a wonderful day! LOVE INA FOREVER!!!,Drawing-ManILoveIna.jpg,Be Careful When You Open The Box For Your B-Day Present. You Could Be Stung...    Because It's Bee-Day Present. :)
Armando,image_2024-05-09_164524869-Armando.png,Happy Birthday Ina! Thank you for inspiring me to pursue my passions!,240509-Armando.png,Don't know inaff birthday puns for this :(
kshut,pebbledachi-KShut.png,Ina! I wanted to take this chance to tell you how much joy you and the other hololive girls have brought into my life. Your soft and comfy attitude never fails to brighten my day and it's something that inspires me to do my best! Please continue being yourself and have a WAHnderful birthday Ina! =w=,inaLaysOnFloor-KShut.png,Q: What drink is prone to making people cough? A: A choco latte (choke alot-te)
EvaCh,,"🎂HAPPY BIRTHDAY INA!!!!!!🎂 So happy to have you be my kamioshi~ (´▽`ʃ♡ƪ)"" May the day be as special as you are! Wishing you a wonderful today, TOMORROW, and always! (´,,•ω•,,)♡",,
a Rabid Hobo,,"Happy birthday! Number of years going up might not mean much, but this year was a happier one for being a takodachi. Thank you very much!",,
RandMB,,Happy birthday Ina! sorry I was busy during the art submission date so i made a 32x32 doodle for it! (larger version included),yes-MemeBoiCrep.png,
RandMB,,(enlarged version of doodle),yes2-MemeBoiCrep.png,
Nyuusai,NyuusaiTako-Nyuusai.png,"Happy birthday Ina! thank you for almost 4 years of creating memories with you, thank you for all the smiles and laughs, thank you for being here with us, and thank you so much for being my biggest inspiration, my true mentor when it comes to pursuing my dreams. WAH",inaBday2024-Nyuusai.png,What is the job that protects all the Takodachis?  it's the WAHrrior ...
CordiesDie,GBlU9YMbgAApdX6-CordiesDie.png,"WAH! Hi Ina and happy birthday!!! o/  It's In(a)sane how the time flies and how it is already your birthday (I swear it was new years just a week ago xd), but I am happy be able to celebrate this occassion with you again!!!  You are an amazing, sweet person and I really love the way you sing <3",Inamaid-CordiesDie.png,"Ina case you forgor, it's your birthday! So have a wahnderful day!"
Nalds,,Happy Birthday Ina! Made some simple art coming from a tako with zero experience in drawing :),,I have no puns but have you o-pun your birthday presents?
Suzuri,,"Happy 4th Birthday Ina!!!! Wow many things have gone through this year, here's to another!!!!",,
梅雨,,"Happy Birthday Ina! I hope you have fun on your special day, and from all of us takodachis, here's to another great year! Your funny jokes, comfy streams, and amazing art make me so happy and help me carry on in my daily life. Thank you so much for everything you do! WAH!",,"Your birthday is so exciting, it's gonna give me tako-cardia! (tachycardia)"
Zogajah,TAKO-Zogajah.png,"Happy Birthday Ina!!! May you have many wonderful moments today as you celebrate with good friends, open many gifts and eat tasty food.",Takoballoons_bday-Zogajah.png,Whoever is Axing for FF14 puns must have been a Warrior
popop,,"I really appreciate your streams. It usually brightens my day, and you inspire me to keep doing art.",inaBirthday-popop.jpg,What do you call a mountain of cat a meowtain ha ha ha get it
Deer Oh Dear,TakoDeerGachaR-DeerOhDear.png,All the best to you on your 4th Birthday celebration with us! WAH!,Ina_Bd4y-DeerOhDear.png,Hope a cookie dough cake chips in to make a sweeter birthday!
いろはす Irohasu,,"Happy birthday Ina!! I always enjoy your stream, thank you!! 誕生日おめでとうございます！頑張ってるイナちゃんにいつも元気を貰ってます、ありがとうー☺️イナちゃんの描くイラストも、歌も、配信も好きです！これからも応援してますー！💜",,
Solodestructo,inaGreedTako-Solodestructo.png,Hi Ina! I love all the streams you do and your art inspires me to become a better person and artist. Your puns and great humor always puts a smile on my face so I can always gain motivation to push forward everyday. I hope you gain great happiness and memories on your birthday!,inaBday-Solodestructo.jpg,What do you call a dirty tako? A takoyucky!
zacell,,Ina birthday fanart!,ninomaeInanisBDrefine-zacell.png,
Kkarumida,,Happy birthday to our wonderful tako! You are the reason why I still pursue making arts.,InaBirthday-Kkarumida.png,
Dave the Deadhead,TakoDave-DaveTheDeadhead.png,"Happy Birthday, Ina! Thank you for all the days you made brighter and for the countless smiles and wahnderful memories shared with us, I wish you all the happiness in the world today and always, and may all the joy you give to us return to you a million times and more!",,"They don't give the man who invented the jackhammer enough credit, it was really groundbreaking at the time!"
underdatv,,"Happy birthday Ina!! I love the calm atmosphere you give, which heals me from the pains of my life(like exhaustions in the morning...). And your drawing stream gives me so many inspirations, that I can make my arts proceed. Thank you for giving me good influences, and have a nice birthday! ",inab2024-underdatv.png,Fun pun...I went so far to Gun pun.
rygus,rygusTako-rygus.png,"Ina,I got my new life from you.
Now, I'm having so so happy life,
Never a life I would have without you.
All my joy are from you. Always thanks to you
For giving us cookies(pleasure)",inaBday-rygus.png,Read my message VERTICAL
Thokaulfr,,"Happy cake day Priestess! Before I knew it your voice and cute giggles and puns have become an integral part of my daily life, your outlook on life is really inspirational to me and I am truly grateful. Here's wishing you a wonderful birthday and good health and surrounded by loved ones!",,Unfortunately my puninary skill isn't up to puff.
