,,,,,MileStone,Uni's Favorite Moment,Scrapbook?,Website?,Video?,
52,【COLLAB】 Chatting with Amelia!,Public,15/11/2020,,,,,,,
53,【Minecraft】 Country Roads Take Me Home,Public,17/11/2020,,,,,,,I'm lost
54,【Minecraft】 Renovation Time!,Public,17/11/2020,,,,,,,Sorry for changing the stream abruptly...!
55,【Half-Life 2】 No More Driving...?,Public,18/11/2020,,,,,,,because it was driving me Ina-sane!!
56,【Clubhouse Games 51】 Braincell Training Arc,Public,20/11/2020,,,,,,,
57,【Half-Life 2】 Fourth Times the Charm,Public,21/11/2020,,,,,,,Zoom
58,【HOLOEN COLLAB】 Don't Starve Together!!,Public,21/11/2020,,,,,,,I'm hungry
59,【DRAWING】 Gesture Drawing + Doodle #7,Public,22/11/2020,,,,,,,Inacademy is now in session!
60,【Sakuna: Of Rice and Ruin】 Rice on Time!,Public,23/11/2020,,,,,,,I'm hungryyy
61,【Minecraft】 Creative Title #543,Public,24/11/2020,,,,,,,
62,【Sakuna: Of Rice and Ruin】 Sakuna Matata,Public,25/11/2020,,,,,,,I'm hungryyy
63,【SSBU】 We're Gonna Smash!!!,Public,27/11/2020,,,,,,,ғᴀᴍɪʟʏ ғʀɪᴇɴᴅʟʏ ғʀɪᴇɴᴅs
64,【PORTAL 2】 We Got This....Right?,Public,28/11/2020,,,,,,,By right I really mean left....?
65,【DRAWING】 Gesture Drawing + Doodle #8,Public,29/11/2020,,,,,,,Inacademy is now in session!
66,【Minecraft】 Roof Where???!?,Public,30/11/2020,,,,,,,
67,【CHAT】 We Need to Tako,Public,02/12/2020,,,,,,,
68,【Sakuna: Of Rice and Ruin】 Natto Inaff Rice,Public,02/12/2020,,,,,,,I'm hungryyy
69,"【Cooking Simulator】 Trust Me, I'm a Shef",Public,03/12/2020,,,,,,,
70,【PORTAL 2】 WHEN BRAINCELLS COLLIDE,Public,04/12/2020,,,,,,,NOW THIS IS WHAT IT'S LIKE WHEN BRAINCELLS COLLIDE
71,【DRAWING】 Let's Learn Krita Together!!,Public,05/12/2020,,,,,,,"Trying out a new art program called ""Krita!"" Let's learn together!"
72,【DRAWING】 Gesture Drawing + Doodle #9,Public,06/12/2020,,,,,,,Inacademy is now in session!
73,【What Remains of Edith Finch】 Yes,Public,08/12/2020,,,,,,,
74,【Sakuna: Of Rice and Ruin】 An Earful of Rice...?,Public,09/12/2020,,,,,,,The title made more sense in my head
75,【Minecraft】 8PM Breakfast,Public,10/12/2020,,600k Subscriber,,,,,"Don't think too much, some things are random"
76,【DRAWING】 Gesture Drawing + Doodle #10,Public,13/12/2020,,,,,,,Inacademy is now in session!
